img, patch_width, patch_height, x_min, x_max, y_min, y_max
0_713_adversarial.png, 7, 5, 8, 15, 21, 26
1_971_adversarial.png, 5, 5, 16, 21, 17, 22
2_738_adversarial.png, 5, 7, 24, 29, 18, 25
3_489_adversarial.png, 7, 3, 8, 15, 0, 3
4_984_adversarial.png, 7, 7, 6, 13, 3, 10
5_75_adversarial.png, 7, 5, 7, 14, 16, 21
6_404_adversarial.png, 3, 5, 5, 8, 14, 19
7_484_adversarial.png, 7, 5, 15, 22, 16, 21
8_815_adversarial.png, 7, 5, 11, 18, 8, 13
9_738_adversarial.png, 5, 3, 7, 12, 25, 28
10_918_adversarial.png, 5, 3, 1, 6, 16, 19
11_971_adversarial.png, 5, 7, 9, 14, 3, 10
12_659_adversarial.png, 7, 3, 9, 16, 3, 6
13_852_adversarial.png, 7, 5, 19, 26, 2, 7
14_435_adversarial.png, 7, 3, 14, 21, 14, 17
15_58_adversarial.png, 3, 7, 18, 21, 0, 7
16_668_adversarial.png, 5, 3, 1, 6, 16, 19
17_39_adversarial.png, 7, 5, 17, 24, 24, 29
18_2_adversarial.png, 5, 7, 7, 12, 5, 12
19_916_adversarial.png, 7, 7, 7, 14, 2, 9
20_815_adversarial.png, 7, 7, 9, 16, 9, 16
21_738_adversarial.png, 7, 5, 22, 29, 21, 26
22_92_adversarial.png, 5, 5, 21, 26, 18, 23
23_628_adversarial.png, 3, 3, 22, 25, 3, 6
24_89_adversarial.png, 7, 3, 10, 17, 21, 24
25_691_adversarial.png, 5, 5, 11, 16, 26, 31
26_861_adversarial.png, 5, 7, 6, 11, 22, 29
27_896_adversarial.png, 5, 7, 12, 17, 14, 21
28_786_adversarial.png, 7, 3, 18, 25, 3, 6
29_971_adversarial.png, 5, 5, 1, 6, 12, 17
30_977_adversarial.png, 5, 7, 11, 16, 17, 24
31_300_adversarial.png, 5, 7, 14, 19, 20, 27
32_89_adversarial.png, 5, 7, 12, 17, 20, 27
33_905_adversarial.png, 5, 5, 2, 7, 19, 24
34_46_adversarial.png, 7, 7, 8, 15, 18, 25
35_758_adversarial.png, 5, 5, 11, 16, 5, 10
36_716_adversarial.png, 7, 3, 16, 23, 9, 12
37_549_adversarial.png, 5, 5, 17, 22, 20, 25
38_738_adversarial.png, 5, 5, 23, 28, 6, 11
39_814_adversarial.png, 3, 7, 24, 27, 1, 8
40_943_adversarial.png, 7, 7, 14, 21, 21, 28
41_46_adversarial.png, 5, 7, 25, 30, 19, 26
42_845_adversarial.png, 3, 3, 16, 19, 7, 10
43_923_adversarial.png, 3, 5, 20, 23, 9, 14
44_984_adversarial.png, 3, 5, 28, 31, 12, 17
45_121_adversarial.png, 5, 7, 7, 12, 24, 31
46_738_adversarial.png, 3, 5, 18, 21, 24, 29
47_580_adversarial.png, 7, 7, 0, 7, 5, 12
48_971_adversarial.png, 7, 5, 7, 14, 8, 13
49_30_adversarial.png, 5, 5, 5, 10, 22, 27
50_954_adversarial.png, 5, 3, 20, 25, 5, 8
51_135_adversarial.png, 3, 5, 15, 18, 24, 29
52_971_adversarial.png, 7, 7, 8, 15, 16, 23
53_580_adversarial.png, 7, 7, 1, 8, 2, 9
54_916_adversarial.png, 5, 7, 12, 17, 3, 10
55_394_adversarial.png, 5, 7, 16, 21, 20, 27
56_549_adversarial.png, 3, 3, 4, 7, 1, 4
57_738_adversarial.png, 7, 7, 18, 25, 0, 7
58_814_adversarial.png, 7, 5, 2, 9, 1, 6
59_278_adversarial.png, 3, 3, 23, 26, 28, 31
60_313_adversarial.png, 3, 3, 16, 19, 20, 23
61_716_adversarial.png, 3, 7, 23, 26, 4, 11
62_331_adversarial.png, 7, 7, 20, 27, 21, 28
63_135_adversarial.png, 7, 5, 10, 17, 10, 15
64_331_adversarial.png, 5, 5, 6, 11, 20, 25
65_971_adversarial.png, 3, 7, 22, 25, 11, 18
66_971_adversarial.png, 3, 7, 26, 29, 10, 17
67_668_adversarial.png, 7, 5, 15, 22, 23, 28
68_97_adversarial.png, 7, 5, 5, 12, 0, 5
69_978_adversarial.png, 3, 7, 20, 23, 9, 16
70_971_adversarial.png, 5, 3, 9, 14, 8, 11
71_508_adversarial.png, 7, 5, 17, 24, 11, 16
72_793_adversarial.png, 3, 7, 20, 23, 21, 28
73_814_adversarial.png, 3, 3, 8, 11, 19, 22
74_852_adversarial.png, 7, 7, 8, 15, 19, 26
75_510_adversarial.png, 3, 3, 17, 20, 0, 3
76_738_adversarial.png, 3, 3, 2, 5, 3, 6
77_92_adversarial.png, 7, 7, 21, 28, 7, 14
78_971_adversarial.png, 3, 5, 15, 18, 8, 13
79_590_adversarial.png, 7, 5, 6, 13, 0, 5
80_713_adversarial.png, 3, 7, 10, 13, 13, 20
81_320_adversarial.png, 5, 7, 13, 18, 21, 28
82_100_adversarial.png, 5, 5, 15, 20, 18, 23
83_984_adversarial.png, 5, 3, 21, 26, 3, 6
84_310_adversarial.png, 7, 5, 5, 12, 17, 22
85_752_adversarial.png, 7, 5, 6, 13, 23, 28
86_92_adversarial.png, 7, 5, 17, 24, 11, 16
87_404_adversarial.png, 7, 7, 5, 12, 18, 25
88_635_adversarial.png, 7, 3, 3, 10, 19, 22
89_815_adversarial.png, 7, 5, 3, 10, 5, 10
90_316_adversarial.png, 7, 3, 6, 13, 3, 6
91_818_adversarial.png, 5, 5, 17, 22, 21, 26
92_91_adversarial.png, 7, 7, 17, 24, 18, 25
93_435_adversarial.png, 7, 5, 1, 8, 11, 16
94_852_adversarial.png, 3, 7, 25, 28, 7, 14
95_696_adversarial.png, 3, 3, 26, 29, 4, 7
96_782_adversarial.png, 3, 5, 14, 17, 18, 23
97_91_adversarial.png, 5, 7, 7, 12, 15, 22
98_580_adversarial.png, 3, 3, 28, 31, 28, 31
99_503_adversarial.png, 3, 3, 14, 17, 17, 20
100_958_adversarial.png, 7, 3, 9, 16, 19, 22
101_815_adversarial.png, 5, 3, 5, 10, 13, 16
102_435_adversarial.png, 5, 7, 9, 14, 19, 26
103_971_adversarial.png, 3, 3, 12, 15, 3, 6
104_403_adversarial.png, 3, 5, 16, 19, 3, 8
105_11_adversarial.png, 3, 3, 18, 21, 24, 27
106_922_adversarial.png, 7, 5, 24, 31, 15, 20
107_971_adversarial.png, 7, 5, 8, 15, 13, 18
108_971_adversarial.png, 3, 5, 7, 10, 13, 18
109_971_adversarial.png, 5, 7, 10, 15, 9, 16
110_815_adversarial.png, 3, 3, 26, 29, 9, 12
111_815_adversarial.png, 3, 5, 4, 7, 10, 15
112_549_adversarial.png, 5, 7, 0, 5, 14, 21
113_438_adversarial.png, 3, 7, 15, 18, 21, 28
114_971_adversarial.png, 5, 3, 19, 24, 9, 12
115_780_adversarial.png, 5, 5, 10, 15, 13, 18
116_635_adversarial.png, 3, 5, 2, 5, 16, 21
117_404_adversarial.png, 5, 3, 3, 8, 20, 23
118_971_adversarial.png, 7, 7, 11, 18, 22, 29
119_512_adversarial.png, 3, 3, 16, 19, 2, 5
120_971_adversarial.png, 5, 7, 14, 19, 11, 18
121_865_adversarial.png, 3, 7, 15, 18, 16, 23
122_509_adversarial.png, 3, 3, 28, 31, 2, 5
123_58_adversarial.png, 5, 7, 8, 13, 11, 18
124_58_adversarial.png, 3, 7, 24, 27, 22, 29
125_313_adversarial.png, 5, 5, 26, 31, 15, 20
126_135_adversarial.png, 5, 3, 10, 15, 8, 11
127_6_adversarial.png, 5, 5, 20, 25, 15, 20
128_310_adversarial.png, 3, 5, 10, 13, 2, 7
129_712_adversarial.png, 3, 5, 17, 20, 5, 10
130_971_adversarial.png, 7, 7, 5, 12, 5, 12
131_435_adversarial.png, 3, 3, 10, 13, 7, 10
132_668_adversarial.png, 5, 7, 2, 7, 11, 18
133_395_adversarial.png, 3, 7, 11, 14, 18, 25
