img,true_label,predicted_class,x,y,r_attack,g_attack,b_attack,r_original,g_original,b_original
a_0.png,4,7,18,3,190,195,253,114,152,166
a_1.png,3,5,20,29,2,8,21,249,244,239
a_2.png,3,1,18,8,0,2,64,244,244,249
a_3.png,8,9,21,19,63,11,178,248,247,238
a_4.png,8,0,21,13,10,73,55,162,172,161
a_5.png,7,0,22,14,245,48,178,0,0,0
a_6.png,5,7,23,6,16,44,26,119,143,171
a_7.png,8,1,23,12,243,240,170,25,51,94
a_8.png,3,9,19,21,21,15,177,219,215,221
a_9.png,0,8,14,5,4,41,140,199,195,168
a_10.png,8,1,3,4,197,224,252,51,69,132
a_11.png,4,0,13,9,2,6,41,240,182,216
a_12.png,7,9,15,13,1,58,9,218,234,212
a_13.png,3,9,21,6,0,54,68,249,249,252
a_14.png,8,0,23,18,61,0,40,182,227,234
a_15.png,2,0,8,29,0,40,52,231,233,231
a_16.png,2,1,22,14,107,36,42,103,168,249
a_17.png,1,9,29,19,246,226,206,12,7,11
a_18.png,7,1,22,15,105,0,187,201,182,165
a_19.png,9,1,2,19,163,0,0,244,245,244
a_20.png,8,0,8,25,0,88,10,224,238,248
a_21.png,8,9,28,7,0,28,20,156,164,172
a_22.png,9,0,10,3,3,18,12,132,166,206
a_23.png,5,1,18,21,0,24,0,245,242,230
a_24.png,5,7,18,21,22,114,30,238,252,252
a_25.png,0,1,20,21,0,0,159,255,247,243
a_26.png,8,0,13,5,237,246,217,61,88,102
a_27.png,8,0,23,18,220,144,169,16,16,39
a_28.png,5,2,13,14,137,20,27,238,229,201
a_29.png,6,9,15,16,15,4,44,197,149,132
a_30.png,6,2,12,23,186,240,161,135,113,92
a_31.png,7,1,21,25,23,117,25,203,199,213
a_32.png,7,1,18,9,0,78,161,250,197,138
a_33.png,8,1,24,10,192,226,255,9,21,19
a_34.png,4,1,12,7,11,0,174,209,180,105
a_35.png,9,1,7,5,181,243,239,25,25,19
a_36.png,9,0,11,21,255,104,219,41,65,62
a_37.png,5,1,9,17,18,0,42,234,226,223
a_38.png,5,9,23,15,237,255,255,49,29,38
a_39.png,2,0,10,25,0,34,0,213,215,220
a_40.png,9,0,25,13,14,12,18,231,212,155
a_41.png,6,9,28,7,251,254,254,35,44,88
a_42.png,6,5,7,20,50,0,134,187,164,135
a_43.png,0,9,2,19,10,1,4,107,192,235
a_44.png,2,5,7,11,114,11,0,249,250,248
a_45.png,7,0,11,9,255,21,72,217,220,230
a_46.png,9,0,28,8,250,104,252,25,25,21
a_47.png,8,9,14,7,10,40,75,228,253,252
a_48.png,0,3,18,7,56,0,100,248,242,246
a_49.png,8,1,6,13,3,28,13,193,222,211
a_50.png,8,0,29,21,65,10,9,255,255,252
a_51.png,3,5,9,14,255,255,247,118,103,82
a_52.png,8,9,23,9,183,196,197,10,5,6
a_53.png,7,5,9,24,242,192,244,109,66,78
a_54.png,8,1,27,10,3,7,132,198,202,211
a_55.png,2,1,28,24,105,23,24,238,240,227
a_56.png,9,0,11,9,252,253,47,57,60,69
a_57.png,2,0,16,25,4,32,24,229,224,218
a_58.png,6,0,16,17,6,28,20,178,166,183
a_59.png,9,0,29,13,197,247,198,117,74,29
a_60.png,7,9,3,18,198,0,27,136,194,215
a_61.png,0,1,22,26,0,73,25,185,174,161
a_62.png,7,9,22,5,0,0,0,219,226,211
a_63.png,8,0,21,9,124,229,224,81,70,50
a_64.png,4,9,20,30,38,3,3,163,185,227
a_65.png,4,5,27,14,0,0,107,224,222,221
a_66.png,8,9,10,4,57,39,191,229,226,233
a_67.png,8,0,22,22,14,2,14,208,199,177
a_68.png,6,0,12,17,2,28,6,221,173,151
a_69.png,1,9,15,7,41,74,195,248,246,244
a_70.png,0,9,18,4,28,52,9,132,221,239
a_71.png,3,9,26,11,17,1,44,210,197,178
a_72.png,9,1,3,6,96,12,77,255,255,255
a_73.png,0,1,18,18,245,141,65,39,53,66
a_74.png,9,8,30,27,107,88,199,253,253,253
a_75.png,2,5,4,21,0,90,81,238,237,236
a_76.png,8,0,19,15,0,17,125,143,163,170
a_77.png,7,1,24,8,25,32,18,165,163,145
a_78.png,0,9,6,12,135,16,82,211,207,209
a_79.png,8,0,26,21,81,30,23,189,199,200
a_80.png,9,1,4,9,161,0,0,198,197,205
a_81.png,2,3,11,9,27,35,45,196,214,201
a_82.png,5,1,17,12,12,113,199,235,238,234
a_83.png,6,2,5,21,253,253,185,17,21,5
a_84.png,4,2,11,18,155,216,231,145,148,146
a_85.png,0,1,23,8,254,238,253,5,6,7
a_86.png,8,0,18,17,0,0,0,86,113,123
a_87.png,5,0,12,24,3,48,45,241,240,242
a_88.png,7,1,22,20,46,36,40,152,170,90
a_89.png,4,7,13,16,66,47,57,142,123,99
a_90.png,0,8,9,14,47,43,15,169,152,129
a_91.png,9,1,9,21,146,210,254,83,87,94
a_92.png,7,1,24,3,19,69,252,209,200,152
a_93.png,9,1,30,23,39,13,28,252,252,251
a_94.png,5,1,4,20,100,42,23,243,247,243
a_95.png,8,9,17,23,0,101,0,209,211,197
a_96.png,8,1,6,20,21,11,0,249,243,234
