img,true_label,predicted_class,x,y,g_attack,g_original
b_0.png,1,9,15,17,0,118
b_1.png,4,1,17,13,255,33
b_2.png,4,1,22,15,244,116
b_3.png,9,1,24,14,233,22
b_4.png,6,9,26,10,246,71
b_5.png,3,5,23,9,15,200
b_6.png,8,9,27,14,0,135
b_7.png,7,9,4,23,7,178
b_8.png,4,7,13,27,21,185
b_9.png,1,9,10,12,82,223
b_10.png,2,9,24,23,0,114
b_11.png,1,9,13,13,19,161
b_12.png,6,9,21,6,0,183
b_13.png,3,9,21,13,255,27
b_14.png,1,9,17,9,50,223
b_15.png,3,9,25,10,7,200
b_16.png,3,5,27,13,9,251
b_17.png,1,9,20,15,240,39
b_18.png,4,1,11,19,45,243
b_19.png,3,5,12,21,0,247
b_20.png,7,3,12,18,255,18
b_21.png,5,9,25,12,0,210
b_22.png,8,0,27,15,252,62
b_23.png,1,9,15,24,0,146
b_24.png,5,3,18,13,9,161
b_25.png,6,7,26,8,4,225
b_26.png,3,9,11,15,15,161
b_27.png,2,6,15,13,254,109
b_28.png,0,9,26,22,255,74
b_29.png,2,3,9,7,0,217
b_30.png,5,7,15,24,35,227
b_31.png,1,9,20,21,255,39
b_32.png,7,4,5,3,234,17
b_33.png,6,5,14,16,3,117
b_34.png,0,4,1,11,0,124
b_35.png,4,1,12,16,238,68
b_36.png,5,7,3,17,0,249
b_37.png,5,2,25,11,0,148
b_38.png,4,9,20,1,0,247
b_39.png,4,7,23,27,0,219
b_40.png,0,4,3,9,255,29
b_41.png,6,9,26,16,255,15
b_42.png,1,9,11,11,38,244
b_43.png,8,9,9,12,1,216
b_44.png,6,2,27,22,9,217
b_45.png,1,9,20,2,0,249
b_46.png,0,9,7,14,0,210
b_47.png,4,7,15,20,0,235
b_48.png,8,9,25,7,251,116
b_49.png,9,3,27,11,0,252
b_50.png,2,3,27,19,0,181
b_51.png,5,7,21,16,0,207
b_52.png,2,3,10,20,0,228
b_53.png,8,1,26,14,255,105
b_54.png,2,1,22,14,235,7
b_55.png,3,9,20,12,255,42
b_56.png,6,9,11,13,0,93
b_57.png,1,9,16,15,233,53
b_58.png,2,4,17,17,5,119
b_59.png,7,5,8,23,254,4
b_60.png,1,9,13,9,0,247
b_61.png,0,3,4,23,3,209
b_62.png,6,9,24,18,255,57
b_63.png,6,1,24,16,227,35
b_64.png,7,5,13,19,1,246
b_65.png,1,9,17,19,201,38
b_66.png,5,9,27,23,5,204
b_67.png,5,3,18,2,15,233
b_68.png,4,7,23,8,197,104
b_69.png,0,1,11,21,0,134
b_70.png,2,3,5,20,0,155
b_71.png,7,2,9,13,0,191
b_72.png,5,1,27,16,0,239
b_73.png,4,6,5,15,225,21
b_74.png,9,1,22,15,243,22
b_75.png,6,3,11,15,0,135
b_76.png,9,1,6,20,46,176
b_77.png,2,9,26,6,0,149
b_78.png,6,3,13,15,0,159
b_79.png,3,5,10,23,0,236
b_80.png,9,3,6,22,253,45
b_81.png,4,9,15,6,23,211
b_82.png,4,9,13,18,0,197
b_83.png,0,4,9,4,2,252
b_84.png,0,9,2,17,10,167
b_85.png,4,1,16,11,5,238
b_86.png,2,0,23,9,14,208
b_87.png,6,2,7,21,5,166
b_88.png,5,9,13,5,6,211
b_89.png,7,4,8,13,0,89
b_90.png,7,1,26,2,0,193
b_91.png,2,7,13,25,31,216
b_92.png,8,9,2,14,0,251
b_93.png,5,1,27,15,9,145
b_94.png,7,9,25,11,12,146
b_95.png,6,5,14,9,0,201
b_96.png,0,2,23,15,125,237
b_97.png,0,2,9,13,0,176
b_98.png,7,9,24,6,242,51
b_99.png,6,9,12,15,15,204
b_100.png,0,8,21,1,80,245
b_101.png,2,4,27,17,255,51
b_102.png,0,9,7,9,30,229
b_103.png,6,2,17,19,0,195
b_104.png,4,7,13,14,63,192
b_105.png,8,1,3,5,0,255
b_106.png,3,7,24,3,0,155
b_107.png,7,2,25,26,0,98
b_108.png,8,2,7,15,9,194
b_109.png,7,0,12,27,6,195
b_110.png,7,9,27,4,0,168
b_111.png,8,1,24,15,0,121
b_112.png,9,0,26,24,2,137
b_113.png,3,9,25,13,0,212
b_114.png,3,5,19,27,0,170
b_115.png,8,9,26,14,255,23
b_116.png,5,3,18,20,245,2
b_117.png,0,9,2,21,37,171
b_118.png,3,9,26,8,255,62
b_119.png,0,3,2,13,0,219
b_120.png,0,3,5,5,0,226
b_121.png,5,3,23,5,0,200
b_122.png,6,5,11,14,5,123
b_123.png,4,6,12,4,255,141
b_124.png,9,5,3,27,5,174
b_125.png,7,1,26,23,14,192
b_126.png,9,1,27,23,0,203
b_127.png,7,4,18,1,18,221
b_128.png,8,1,24,8,228,38
b_129.png,7,2,8,24,22,135
b_130.png,6,4,14,15,1,156
b_131.png,0,2,27,19,26,136
b_132.png,6,4,18,17,255,67
b_133.png,7,4,21,25,31,206
b_134.png,8,1,25,12,0,238
b_135.png,1,9,16,3,255,60
b_136.png,3,5,7,4,3,236
b_137.png,2,5,25,9,19,231
b_138.png,5,3,6,18,0,255
b_139.png,0,2,8,27,7,122
b_140.png,2,6,3,5,255,34
b_141.png,0,2,2,11,21,201
b_142.png,0,2,23,17,33,233
b_143.png,7,4,7,9,0,242
b_144.png,8,9,22,7,255,2
b_145.png,1,9,16,15,10,144
b_146.png,2,5,21,10,0,196
b_147.png,8,9,26,18,255,99
b_148.png,3,9,26,13,10,142
b_149.png,0,9,13,15,38,215
b_150.png,6,2,23,7,10,169
b_151.png,3,5,22,3,33,235
b_152.png,2,9,15,19,217,20
b_153.png,0,9,27,11,251,22
b_154.png,9,1,4,12,1,234
b_155.png,7,9,11,15,3,198
b_156.png,6,3,5,12,255,43
b_157.png,9,6,27,13,41,239
b_158.png,8,0,20,16,235,23
b_159.png,0,9,26,22,255,11
b_160.png,1,9,27,23,17,168
b_161.png,2,9,15,11,1,207
b_162.png,2,3,3,17,0,186
b_163.png,2,3,13,26,17,237
b_164.png,2,4,8,7,0,178
b_165.png,2,0,14,3,0,132
b_166.png,5,3,21,12,255,38
b_167.png,1,9,15,9,10,226
b_168.png,7,2,11,19,19,250
b_169.png,6,4,13,12,255,115
b_170.png,9,1,4,9,255,65
b_171.png,5,3,18,11,0,192
b_172.png,9,1,27,13,49,185
b_173.png,6,9,13,14,253,36
b_174.png,0,5,27,1,18,193
b_175.png,5,3,3,14,0,235
b_176.png,8,9,20,8,252,61
b_177.png,0,2,1,7,0,254
b_178.png,6,9,26,3,252,73
b_179.png,7,9,21,21,21,246
b_180.png,8,0,10,2,0,197
b_181.png,1,9,17,16,217,39
b_182.png,6,2,27,10,227,71
b_183.png,6,9,7,13,232,20
b_184.png,0,4,27,22,9,249
b_185.png,8,9,24,16,10,193
b_186.png,1,9,13,17,6,252
b_187.png,4,9,2,17,22,194
b_188.png,1,9,9,13,0,251
b_189.png,9,1,27,15,3,124
b_190.png,7,5,27,12,0,184
b_191.png,3,0,26,26,41,240
b_192.png,7,9,25,3,0,144
b_193.png,2,6,5,6,255,57
b_194.png,9,1,27,16,22,237
b_195.png,1,9,11,14,8,195
b_196.png,2,9,27,23,255,37
b_197.png,6,2,26,15,252,106
b_198.png,4,2,11,7,0,125
b_199.png,1,9,13,12,252,41
b_200.png,8,0,20,9,15,201
b_201.png,8,1,26,15,250,47
b_202.png,0,9,9,12,9,219
b_203.png,3,9,21,7,0,222
b_204.png,6,2,16,17,25,184
b_205.png,1,9,16,15,241,25
b_206.png,6,2,15,15,0,182
b_207.png,6,1,27,17,0,87
b_208.png,0,4,5,8,255,104
b_209.png,7,5,5,23,0,140
b_210.png,2,1,27,20,255,53
b_211.png,6,9,11,17,0,187
b_212.png,4,9,26,7,0,216
b_213.png,7,3,26,15,0,150
b_214.png,1,9,13,12,41,212
b_215.png,0,9,3,21,23,195
b_216.png,1,9,8,12,0,230
b_217.png,6,9,20,11,0,206
b_218.png,3,9,26,8,5,158
b_219.png,7,1,10,15,255,26
b_220.png,0,9,9,13,0,245
b_221.png,6,3,15,19,0,208
b_222.png,1,9,12,12,7,213
b_223.png,4,1,11,25,255,34
b_224.png,0,9,7,13,13,239
b_225.png,5,3,16,19,0,209
b_226.png,6,9,10,19,2,144
b_227.png,0,3,2,17,0,211
b_228.png,2,4,11,23,0,146
b_229.png,4,1,14,4,250,64
b_230.png,7,5,9,16,236,9
b_231.png,8,1,24,17,4,168
b_232.png,7,4,4,5,255,3
b_233.png,5,7,19,19,0,225
b_234.png,1,9,23,13,1,187
b_235.png,3,9,15,2,8,207
b_236.png,0,1,2,20,0,125
b_237.png,6,4,27,16,255,17
b_238.png,7,4,12,13,0,247
b_239.png,4,1,27,12,239,47
b_240.png,9,1,17,19,10,165
b_241.png,5,3,5,14,0,251
b_242.png,1,9,13,15,0,188
b_243.png,0,9,5,19,0,216
b_244.png,5,9,24,16,0,231
b_245.png,3,5,25,6,6,171
b_246.png,0,2,14,2,0,215
b_247.png,0,8,19,2,2,239
b_248.png,9,1,8,17,255,40
b_249.png,8,1,27,14,255,16
b_250.png,4,5,22,3,2,172
b_251.png,6,9,10,20,0,171
b_252.png,9,0,13,25,15,116
b_253.png,5,3,9,27,36,251
b_254.png,5,9,14,8,255,41
b_255.png,0,9,2,21,26,208
b_256.png,3,9,27,6,251,60
b_257.png,2,7,9,8,228,38
b_258.png,5,9,5,20,73,248
b_259.png,2,4,20,11,239,55
b_260.png,9,1,27,11,1,126
b_261.png,7,5,10,6,255,12
b_262.png,9,5,22,22,0,99
b_263.png,3,1,25,15,0,208
b_264.png,2,3,20,10,31,178
b_265.png,5,3,5,19,8,144
b_266.png,0,9,3,5,0,219
b_267.png,5,9,25,10,39,156
b_268.png,3,5,2,15,11,224
b_269.png,2,9,9,4,0,208
b_270.png,4,1,25,24,5,160
b_271.png,8,0,25,12,0,160
b_272.png,4,1,21,20,0,244
b_273.png,6,2,26,16,255,71
b_274.png,8,0,25,13,230,19
b_275.png,7,3,16,8,5,187
b_276.png,3,5,13,9,0,228
b_277.png,6,2,26,26,255,29
b_278.png,1,9,17,15,0,168
b_279.png,6,9,9,22,7,168
b_280.png,6,9,15,1,27,253
b_281.png,3,5,2,10,8,255
b_282.png,5,3,25,22,255,3
b_283.png,7,9,13,15,25,249
b_284.png,3,9,25,11,255,25
b_285.png,8,0,24,13,0,75
b_286.png,6,4,12,16,0,155
b_287.png,0,8,3,12,7,241
b_288.png,7,9,11,9,18,227
b_289.png,5,4,5,19,26,214
b_290.png,1,9,13,16,1,164
b_291.png,3,6,5,17,251,34
b_292.png,6,2,14,19,0,176
b_293.png,2,0,9,2,10,169
b_294.png,1,0,23,12,9,108
b_295.png,3,5,27,2,14,238
b_296.png,5,3,14,3,8,159
b_297.png,0,1,6,25,4,222
b_298.png,8,1,23,22,7,173
b_299.png,9,3,26,19,1,160
b_300.png,9,1,9,24,0,245
b_301.png,7,9,15,19,0,164
b_302.png,3,9,27,4,255,12
b_303.png,7,9,13,21,157,247
b_304.png,0,1,11,19,34,106
b_305.png,8,9,26,14,255,7
b_306.png,6,2,16,19,0,154
b_307.png,5,6,3,15,19,234
b_308.png,0,3,2,22,0,115
b_309.png,1,9,19,19,4,201
b_310.png,7,3,13,18,0,250
b_311.png,3,5,27,23,232,49
b_312.png,6,2,27,11,0,240
b_313.png,0,9,17,11,0,253
b_314.png,4,2,18,23,2,94
b_315.png,1,9,18,15,0,219
b_316.png,1,9,11,13,10,225
b_317.png,1,9,15,10,3,177
b_318.png,1,9,24,17,226,22
b_319.png,6,9,9,16,0,229
b_320.png,1,4,20,3,251,156
b_321.png,8,1,27,14,254,24
b_322.png,4,0,20,5,255,35
b_323.png,0,5,7,9,8,231
b_324.png,9,1,5,4,52,206
b_325.png,0,8,13,17,46,146
b_326.png,2,0,15,13,255,28
b_327.png,4,7,11,27,0,166
b_328.png,1,2,27,17,59,247
b_329.png,2,7,23,24,15,235
b_330.png,7,9,6,17,0,154
b_331.png,9,1,25,12,241,11
b_332.png,6,4,27,17,254,36
b_333.png,1,9,11,11,0,170
b_334.png,0,9,27,14,230,15
b_335.png,5,7,16,27,0,146
b_336.png,2,6,9,7,0,146
b_337.png,6,2,8,23,0,200
b_338.png,8,0,16,21,38,171
b_339.png,2,9,26,19,9,157
b_340.png,0,9,27,23,255,7
b_341.png,3,9,14,11,255,92
b_342.png,3,9,26,21,243,22
b_343.png,2,5,13,15,3,234
b_344.png,4,1,24,22,23,155
b_345.png,1,9,13,6,251,4
b_346.png,2,0,11,27,6,228
b_347.png,1,9,18,13,0,149
b_348.png,5,9,15,25,0,161
b_349.png,0,5,1,6,9,240
b_350.png,4,5,14,21,255,1
b_351.png,3,5,4,24,255,24
