img, patch_width, patch_height, x_min, x_max, y_min, y_max
0_0_adversarial.png, 70, 50, 69, 139, 220, 270
1_0_adversarial.png, 70, 50, 112, 182, 133, 183
2_0_adversarial.png, 70, 50, 164, 234, 229, 279
3_811_adversarial.png, 70, 70, 31, 101, 208, 278
4_0_adversarial.png, 50, 30, 171, 221, 103, 133
5_458_adversarial.png, 30, 70, 236, 266, 60, 130
6_828_adversarial.png, 70, 30, 71, 141, 81, 111
7_0_adversarial.png, 50, 70, 112, 162, 120, 190
8_0_adversarial.png, 70, 70, 108, 178, 93, 163
9_696_adversarial.png, 50, 50, 44, 94, 63, 113
10_265_adversarial.png, 50, 30, 8, 58, 260, 290
11_0_adversarial.png, 50, 70, 77, 127, 25, 95
12_710_adversarial.png, 70, 30, 78, 148, 55, 85
13_0_adversarial.png, 70, 50, 213, 283, 157, 207
14_0_adversarial.png, 30, 70, 79, 109, 118, 188
15_0_adversarial.png, 50, 30, 195, 245, 11, 41
16_846_adversarial.png, 50, 30, 11, 61, 256, 286
17_0_adversarial.png, 70, 50, 143, 213, 232, 282
18_0_adversarial.png, 50, 70, 59, 109, 42, 112
19_0_adversarial.png, 70, 70, 56, 126, 226, 296
20_0_adversarial.png, 30, 70, 260, 290, 205, 275
21_0_adversarial.png, 50, 50, 142, 192, 119, 169
22_0_adversarial.png, 70, 70, 83, 153, 95, 165
23_0_adversarial.png, 70, 70, 27, 97, 38, 108
24_322_adversarial.png, 70, 30, 159, 229, 14, 44
25_0_adversarial.png, 50, 70, 210, 260, 118, 188
26_267_adversarial.png, 50, 50, 211, 261, 110, 160
27_921_adversarial.png, 70, 30, 183, 253, 213, 243
28_0_adversarial.png, 70, 50, 112, 182, 167, 217
29_0_adversarial.png, 30, 70, 49, 79, 66, 136
30_465_adversarial.png, 50, 30, 99, 149, 210, 240
31_0_adversarial.png, 70, 50, 136, 206, 83, 133
32_0_adversarial.png, 70, 50, 166, 236, 99, 149
33_0_adversarial.png, 70, 50, 161, 231, 200, 250
34_570_adversarial.png, 50, 50, 239, 289, 21, 71
35_0_adversarial.png, 70, 70, 180, 250, 206, 276
36_0_adversarial.png, 50, 70, 238, 288, 71, 141
37_0_adversarial.png, 50, 50, 41, 91, 144, 194
38_828_adversarial.png, 30, 70, 144, 174, 126, 196
39_0_adversarial.png, 50, 70, 162, 212, 78, 148
40_0_adversarial.png, 50, 70, 50, 100, 27, 97
41_0_adversarial.png, 70, 30, 183, 253, 237, 267
42_0_adversarial.png, 70, 50, 159, 229, 235, 285
43_662_adversarial.png, 70, 30, 35, 105, 263, 293
44_756_adversarial.png, 30, 30, 171, 201, 151, 181
45_0_adversarial.png, 30, 50, 195, 225, 82, 132
46_189_adversarial.png, 70, 30, 197, 267, 95, 125
47_771_adversarial.png, 50, 70, 197, 247, 169, 239
48_0_adversarial.png, 70, 30, 41, 111, 184, 214
49_969_adversarial.png, 30, 50, 134, 164, 96, 146
50_0_adversarial.png, 30, 70, 222, 252, 209, 279
51_0_adversarial.png, 30, 70, 84, 114, 13, 83
52_0_adversarial.png, 50, 50, 197, 247, 128, 178
53_0_adversarial.png, 70, 50, 131, 201, 189, 239
54_351_adversarial.png, 70, 30, 21, 91, 185, 215
55_0_adversarial.png, 70, 50, 27, 97, 108, 158
56_0_adversarial.png, 70, 70, 161, 231, 54, 124
57_0_adversarial.png, 30, 30, 23, 53, 263, 293
58_0_adversarial.png, 70, 30, 180, 250, 180, 210
59_5_adversarial.png, 30, 30, 59, 89, 101, 131
60_0_adversarial.png, 70, 30, 55, 125, 256, 286
61_226_adversarial.png, 70, 30, 143, 213, 76, 106
62_0_adversarial.png, 70, 70, 217, 287, 160, 230
63_0_adversarial.png, 70, 70, 107, 177, 81, 151
64_0_adversarial.png, 50, 50, 124, 174, 52, 102
65_0_adversarial.png, 70, 30, 179, 249, 177, 207
66_843_adversarial.png, 30, 70, 165, 195, 156, 226
67_0_adversarial.png, 50, 50, 188, 238, 149, 199
68_45_adversarial.png, 50, 30, 225, 275, 6, 36
69_0_adversarial.png, 30, 70, 147, 177, 103, 173
70_519_adversarial.png, 30, 50, 130, 160, 205, 255
71_230_adversarial.png, 70, 50, 226, 296, 136, 186
72_0_adversarial.png, 50, 30, 163, 213, 13, 43
73_0_adversarial.png, 30, 50, 139, 169, 218, 268
74_0_adversarial.png, 70, 30, 54, 124, 15, 45
75_0_adversarial.png, 30, 30, 35, 65, 56, 86
76_0_adversarial.png, 70, 70, 175, 245, 63, 133
77_855_adversarial.png, 30, 50, 254, 284, 69, 119
78_0_adversarial.png, 70, 50, 53, 123, 6, 56
79_0_adversarial.png, 30, 70, 172, 202, 104, 174
80_748_adversarial.png, 50, 70, 108, 158, 173, 243
81_0_adversarial.png, 50, 50, 127, 177, 146, 196
82_140_adversarial.png, 50, 30, 168, 218, 54, 84
83_0_adversarial.png, 70, 50, 43, 113, 141, 191
